,subject,condition,position_index,billboard_image_at_position,billboard_emotionality,billboard#_fixated,billboard#_fixated_count,billboard#_duration,recall,recognition
1,sub016,free viewing,2,smoking,low_emo,1,5.0,3.299999999999997,1,1
2,sub016,free viewing,3,coffee,low_emo,1,5.0,4.880000000000013,0,0
3,sub016,free viewing,4,hotel,low_emo,1,2.0,4.57,0,1
4,sub016,free viewing,5,drugged_driving,high_emo,1,2.0,2.5800000000000125,0,1
5,sub016,free viewing,6,education_donation,low_emo,1,4.0,4.530000000000001,0,1
6,sub016,free viewing,7,vaping,low_emo,1,3.0,7.090000000000003,0,1
7,sub016,free viewing,8,healthy_diet,high_emo,1,8.0,5.719999999999985,0,1
8,sub016,free viewing,9,binge_drinking,high_emo,1,4.0,4.599999999999994,1,1
9,sub016,free viewing,10,sun_protection,low_emo,1,5.0,6.2400000000000375,0,1
10,sub016,free viewing,11,brunch,high_emo,1,7.0,6.330000000000041,1,1
11,sub016,free viewing,12,tech_addiction,low_emo,1,1.0,5.560000000000002,0,1
12,sub016,free viewing,13,vaccination,high_emo,1,3.0,5.090000000000032,1,1
13,sub016,free viewing,14,burger,high_emo,1,3.0,2.009999999999991,1,1
14,sub016,free viewing,15,HIV,low_emo,1,2.0,3.990000000000009,0,1
15,sub016,free viewing,16,furniture,high_emo,1,3.0,3.700000000000017,1,1
16,sub016,free viewing,17,marijuana,high_emo,1,4.0,4.759999999999991,1,1
17,sub016,free viewing,18,text_driving,low_emo,1,2.0,3.569999999999993,0,1
18,sub016,free viewing,19,buckle_up,high_emo,1,6.0,4.080000000000041,1,1
19,sub016,free viewing,20,wash_hands,high_emo,1,2.0,0.6400000000000432,1,1
0,sub017,free viewing,1,marijuana,low_emo,1,2.0,1.6400000000000006,1,1
1,sub017,free viewing,2,sun_protection,high_emo,1,2.0,2.780000000000001,0,1
2,sub017,free viewing,3,binge_drinking,high_emo,1,3.0,3.1500000000000057,1,1
3,sub017,free viewing,4,vaccination,low_emo,1,2.0,1.4299999999999995,1,1
4,sub017,free viewing,5,healthy_diet,high_emo,1,1.0,1.9699999999999989,0,1
5,sub017,free viewing,6,tech_addiction,high_emo,1,3.0,3.819999999999993,0,1
